index,team,player_1,player_2,score_1,score_2
99,Royal Challengers Bangalore,AB de Villiers,Shabhaz Ahmed,1,1
100,Royal Challengers Bangalore,DT Christian,AB de Villiers,1,15
101,Royal Challengers Bangalore,AB de Villiers,KA Jamieson,26,4
102,Royal Challengers Bangalore,AB de Villiers,HV Patel,2,3
103,Royal Challengers Bangalore,HV Patel,Mohammed Siraj,1,0
,,,,,
104,Royal Challengers Bangalore,V Kohli,D Padikkal,6,11
105,Royal Challengers Bangalore,V Kohli,Shabhaz Ahmed,13,14
106,Royal Challengers Bangalore,V Kohli,GJ Maxwell,14,27
107,Royal Challengers Bangalore,AB de Villiers,GJ Maxwell,1,3
108,Royal Challengers Bangalore,GJ Maxwell,Washington Sundar,2,8
109,Royal Challengers Bangalore,DT Christian,GJ Maxwell,1,3
110,Royal Challengers Bangalore,GJ Maxwell,KA Jamieson,14,12
111,Royal Challengers Bangalore,GJ Maxwell,HV Patel,10,0
,,,,,
112,Royal Challengers Bangalore,V Kohli,D Padikkal,5,0
113,Royal Challengers Bangalore,RM Patidar,D Padikkal,1,2
114,Royal Challengers Bangalore,GJ Maxwell,D Padikkal,60,23
115,Royal Challengers Bangalore,AB de Villiers,GJ Maxwell,33,18
116,Royal Challengers Bangalore,AB de Villiers,KA Jamieson,43,11
,,,,,
117,Royal Challengers Bangalore,V Kohli,D Padikkal,72,101
,,,,,
118,Royal Challengers Bangalore,V Kohli,D Padikkal,8,32
119,Royal Challengers Bangalore,Washington Sundar,D Padikkal,6,2
120,Royal Challengers Bangalore,GJ Maxwell,Washington Sundar,10,1
121,Royal Challengers Bangalore,AB de Villiers,GJ Maxwell,2,12
122,Royal Challengers Bangalore,DT Christian,AB de Villiers,1,1
123,Royal Challengers Bangalore,AB de Villiers,KA Jamieson,1,1
124,Royal Challengers Bangalore,HV Patel,KA Jamieson,0,5
125,Royal Challengers Bangalore,KA Jamieson,NA Saini,2,2
126,Royal Challengers Bangalore,YS Chahal,KA Jamieson,1,8
127,Royal Challengers Bangalore,YS Chahal,Mohammed Siraj,7,12
,,,,,
128,Royal Challengers Bangalore,V Kohli,D Padikkal,12,17
